Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass,Survived
Mr. Shadrach Gale,male,34,1,0,21,2nd,no
Mr. Carl/Charles Peter Widegren,male,51,0,0,7.75,3rd,no
Master. William Rowe Richards,male,3,1,1,18.75,2nd,yes
Mr. Hans Martin Monsen Birkeland,male,21,0,0,7.775,3rd,no
Miss. Ida Lefebre,female,3,3,1,25.4667,3rd,no
Mr. Todor Sdycoff,male,42,0,0,7.8958,3rd,no
Mr. Henry Hart,male,27,0,0,6.8583,3rd,no
Miss. Daisy E Minahan,female,33,1,0,90,1st,yes
Mr. Alfred Fleming Cunningham,male,22,0,0,0,2nd,no
Mr. Johan Julian Sundman,male,44,0,0,7.925,3rd,yes
Mrs. Thomas (Annie Louise Rowley) Meek,female,32,0,0,8.05,3rd,no
Mrs. James Vivian (Lulu Thorne Christian) Drew,female,34,1,1,32.5,2nd,yes
Miss. Lyyli Karoliina Silven,female,18,0,2,13,2nd,yes
Mr. William John Matthews,male,30,0,0,13,2nd,no
Miss. Catharina Van Impe,female,10,0,2,24.15,3rd,no
Mr. David Charters,male,21,0,0,7.7333,3rd,no
Mr. Leo Zimmerman,male,29,0,0,7.875,3rd,no
Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,female,28,1,1,14.4,3rd,no
Mr. Viktor Richard Rosblom,male,18,1,1,20.2125,3rd,no
Mr. Phillippe Wiseman,male,54,0,0,7.25,3rd,no
Mrs. Charles V (Ada Maria Winfield) Clarke,female,28,1,0,26,2nd,yes
Miss. Kate Florence Phillips,female,19,0,0,26,2nd,yes
Mr. James Flynn,male,28,0,0,7.75,3rd,no
Mr. Berk (Berk Trembisky) Pickard,male,32,0,0,8.05,3rd,yes
Mr. Mauritz Hakan Bjornstrom-Steffansson,male,28,0,0,26.55,1st,yes
Mrs. Percival (Florence Kate White) Thorneycroft,female,33,1,0,16.1,3rd,yes
Mrs. Charles Alexander (Alice Adelaide Slow) Louch,female,42,1,0,26,2nd,yes
Mr. Nikolai Erland Kallio,male,17,0,0,7.125,3rd,no
Mr. William Baird Silvey,male,50,1,0,55.9,1st,no
Miss. Lucile Polk Carter,female,14,1,2,120,1st,yes
Miss. Doolina Margaret Ford,female,21,2,2,34.375,3rd,no
Mrs. Sidney (Emily Hocking) Richards,female,24,2,3,18.75,2nd,yes
Mr. Mark Fortune,male,64,1,4,263,1st,no
Mr. Johan Henrik Johannesson Kvillner,male,31,0,0,10.5,2nd,no
Mrs. Benjamin (Esther Ada Bloomfield) Hart,female,45,1,1,26.25,2nd,yes
Mr. Leon Hampe,male,20,0,0,9.5,3rd,no
Mr. Johan Emil Petterson,male,25,1,0,7.775,3rd,no
Ms. Encarnacion Reynaldo,female,28,0,0,13,2nd,yes
Mr. Bernt Johannesen-Bratthammer,male,29,0,0,8.1125,3rd,yes
Master. Washington Dodge,male,4,0,2,81.8583,1st,yes
Miss. Madeleine Violet Mellinger,female,13,0,1,19.5,2nd,yes
Mr. Frederic Kimber Seward,male,34,0,0,26.55,1st,yes
Miss. Marie Catherine Baclini,female,5,2,1,19.2583,3rd,yes
Major. Arthur Godfrey Peuchen,male,52,0,0,30.5,1st,yes
Mr. Edwy Arthur West,male,36,1,2,27.75,2nd,no
Mr. Ingvald Olai Olsen Hagland,male,28,1,0,19.9667,3rd,no
Mr. Benjamin Laventall Foreman,male,30,0,0,27.75,1st,no
Mr. Samuel L Goldenberg,male,49,1,0,89.1042,1st,yes
Mr. Joseph Peduzzi,male,24,0,0,8.05,3rd,no
Mr. Ivan Jalsevac,male,29,0,0,7.8958,3rd,yes
Mr. Francis Davis Millet,male,65,0,0,26.55,1st,no
Mrs. Frederick R (Marion) Kenyon,female,41,1,0,51.8625,1st,yes
Miss. Ellen Toomey,female,50,0,0,10.5,2nd,yes
Mr. Maurice O'Connor,male,17,0,0,7.75,3rd,no
Mr. Harry Anderson,male,48,0,0,26.55,1st,yes
Mr. William Morley,male,34,0,0,8.05,3rd,no
Mr. Arthur H Gee,male,47,0,0,38.5,1st,no
Mr. Jacob Christian Milling,male,48,0,0,13,2nd,no
Mr. Simon Maisner,male,34,0,0,8.05,3rd,no
Mr. Manuel Estanslas Goncalves,male,38,0,0,7.05,3rd,no
Mr. William Campbell,male,21,0,0,0,2nd,no
Mr. John Montgomery Smart,male,56,0,0,26.55,1st,no
Mr. James Scanlan,male,22,0,0,7.725,3rd,no
Miss. Helene Barbara Baclini,female,0.75,2,1,19.2583,3rd,yes
Mr. Arthur Keefe,male,39,0,0,7.25,3rd,no
Mr. Luka Cacic,male,38,0,0,8.6625,3rd,no
Mrs. Edwy Arthur (Ada Mary Worth) West,female,33,1,2,27.75,2nd,yes
Mrs. Amin S (Marie Marthe Thuillard) Jerwan,female,23,0,0,13.7917,2nd,yes
Miss. Ida Sofia Strandberg,female,22,0,0,9.8375,3rd,no
Mr. George Quincy Clifford,male,40,0,0,52,1st,no
Mr. Peter Henry Renouf,male,34,1,0,21,2nd,no
Mr. Lewis Richard Braund,male,29,1,0,7.0458,3rd,no
Mr. Nils August Karlsson,male,22,0,0,7.5208,3rd,no
Miss. Hildur E Hirvonen,female,2,0,1,12.2875,3rd,yes
Master. Harold Victor Goodwin,male,9,5,2,46.9,3rd,no
Mr. Anthony Wood Frost,male,37,0,0,0,2nd,no
Mr. Richard Henry Rouse,male,50,0,0,8.05,3rd,no
Mrs. (Hedwig) Turkula,female,63,0,0,9.5875,3rd,yes
Mr. Dickinson H Bishop,male,25,1,0,91.0792,1st,yes
Miss. Jeannie Lefebre,female,8,3,1,25.4667,3rd,no
Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,female,35,1,0,90,1st,yes
Mr. Edward Austin Kent,male,58,0,0,29.7,1st,no
Mr. Francis William Somerton,male,30,0,0,8.05,3rd,no
Master. Eden Leslie Coutts,male,9,1,1,15.9,3rd,yes
Mr. Konrad Mathias Reiersen Hagland,male,19,1,0,19.9667,3rd,no
Mr. Einar Windelov,male,21,0,0,7.25,3rd,no
Mr. Harry Markland Molson,male,55,0,0,30.5,1st,no
Mr. Ramon Artagaveytia,male,71,0,0,49.5042,1st,no
Mr. Edward Roland Stanley,male,21,0,0,8.05,3rd,no
Mr. Gerious Yousseff,male,26,0,0,14.4583,3rd,no
Miss. Elizabeth Mussey Eustis,female,54,1,0,78.2667,1st,yes
Mr. Frederick William Shellard,male,55,0,0,15.1,3rd,no
Mrs. Hudson J C (Bessie Waldo Daniels) Allison,female,25,1,2,151.55,1st,no
Mr. Olof Svensson,male,24,0,0,7.7958,3rd,no
Mr. Petar Calic,male,17,0,0,8.6625,3rd,no
Miss. Mary Canavan,female,21,0,0,7.75,3rd,no
Miss. Bridget Mary O'Sullivan,female,21,0,0,7.6292,3rd,no
Miss. Kristina Sofia Laitinen,female,37,0,0,9.5875,3rd,no
Miss. Roberta Maioni,female,16,0,0,86.5,1st,yes
Mr. Victor de Satode Penasco y Castellana,male,18,1,0,108.9,1st,no
Mrs. Frederick Charles (Jane Richards) Quick,female,33,0,2,26,2nd,yes
Mr. George Bradley,male,37,0,0,26.55,1st,yes
Mr. Henry Margido Olsen,male,28,0,0,22.525,3rd,no
Mr. Fang Lang,male,26,0,0,56.4958,3rd,yes
Mr. Eugene Patrick Daly,male,29,0,0,7.75,3rd,yes
Mr. James Webber,male,66,0,0,8.05,3rd,no
Mr. James Robert McGough,male,36,0,0,26.2875,1st,yes
Mrs. Martin (Elizabeth L. Barrett) Rothschild,female,54,1,0,59.4,1st,yes
Mr. Satio Coleff,male,24,0,0,7.4958,3rd,no
Mr. William Anderson Walker,male,47,0,0,34.0208,1st,no
Mrs. (Amelia Milley) Lemore,female,34,0,0,10.5,2nd,yes
Mr. Patrick Ryan,male,30,0,0,24.15,3rd,no
Mrs. William A (Florence Agnes Hughes) Angle,female,36,1,0,26,2nd,yes
Mr. Stefo Pavlovic,male,32,0,0,7.8958,3rd,no
Miss. Anne Perreault,female,30,0,0,93.5,1st,yes
Mr. Janko Vovk,male,22,0,0,7.8958,3rd,no
Mr. Sarkis Lahoud,male,35,0,0,7.225,3rd,no
Mrs. Louis Albert (Ida Sophia Fischer) Hippach,female,44,0,1,57.9792,1st,yes
Mr. Fared Kassem,male,18,0,0,7.2292,3rd,no
Mr. James Farrell,male,40.5,0,0,7.75,3rd,no
Miss. Lucy Ridsdale,female,50,0,0,10.5,2nd,yes
Mr. John Farthing,male,49,0,0,221.7792,1st,no
Mr. Johan Werner Salonen,male,39,0,0,7.925,3rd,no
Mr. Richard George Hocking,male,23,2,1,11.5,2nd,no
Miss. Phyllis May Quick,female,2,1,1,26,2nd,yes
Mr. Nakli Toufik,male,17,0,0,7.2292,3rd,no
Mr. Joseph Jr Elias,male,17,1,1,7.2292,3rd,no
Mrs. Catherine (Catherine Rizk) Peter,female,24,0,2,22.3583,3rd,yes
Miss. Marija Cacic,female,30,0,0,8.6625,3rd,no
Miss. Eva Miriam Hart,female,7,0,2,26.25,2nd,yes
Major. Archibald Willingham Butt,male,45,0,0,26.55,1st,no
Miss. Bertha LeRoy,female,30,0,0,106.425,1st,yes
Mr. Samuel Beard Risien,male,69,0,0,14.5,3rd,no
Miss. Hedwig Margaritha Frolicher,female,22,0,2,49.5,1st,yes
Miss. Harriet R Crosby,female,36,0,2,71,1st,yes
Miss. Ingeborg Constanzia Andersson,female,9,4,2,31.275,3rd,no
Miss. Sigrid Elisabeth Andersson,female,11,4,2,31.275,3rd,no
Mr. Edward Beane,male,32,1,0,26,2nd,yes
Mr. Walter Donald Douglas,male,50,1,0,106.425,1st,no
Mr. Arthur Ernest Nicholson,male,64,0,0,26,1st,no
Mrs. Edward (Ethel Clarke) Beane,female,19,1,0,26,2nd,yes
Mr. Julian Padro y Manent,male,27,0,0,13.8625,2nd,yes
Mr. Frank John Goldsmith,male,33,1,1,20.525,3rd,no
Master. John Morgan Jr Davies,male,8,1,1,36.75,2nd,yes
Mr. John Borland Jr Thayer,male,17,0,2,110.8833,1st,yes
Mr. Percival James R Sharp,male,27,0,0,26,2nd,no
Mr. Timothy O'Brien,male,21,0,0,7.8292,3rd,no
Mr. Fahim Leeni,male,22,0,0,7.225,3rd,yes
Miss. Velin Ohman,female,22,0,0,7.775,3rd,yes
Mr. George Wright,male,62,0,0,26.55,1st,no
Lady. (Lucille Christiana Sutherland)Duff Gordon,female,48,1,0,39.6,1st,yes
Mr. Victor Robbins,male,45,0,0,227.525,1st,no
Mrs. Emil (Tillie Mandelbaum) Taussig,female,39,1,1,79.65,1st,yes
Mrs. Guillaume Joseph (Emma) de Messemaeker,female,36,1,0,17.4,3rd,yes
Mr. Thomas Rowan Morrow,male,30,0,0,7.75,3rd,no
Mr. Husein Sivic,male,40,0,0,7.8958,3rd,no
Mr. Robert Douglas Norman,male,28,0,0,13.5,2nd,no
Mr. John Simmons,male,40,0,0,8.05,3rd,no
Miss. (Marion Ogden) Meanwell,female,62,0,0,8.05,3rd,no
Mr. Alfred J Davies,male,24,2,0,24.15,3rd,no
Mr. Ilia Stoytcheff,male,19,0,0,7.8958,3rd,no
Mrs. Nils (Alma Cornelia Berglund) Palsson,female,29,0,4,21.075,3rd,no
Mr. Tannous Doharr,male,28,0,0,7.2292,3rd,no
Mr. Carl Jonsson,male,32,0,0,7.8542,3rd,yes
Mr. George Harris,male,62,0,0,10.5,2nd,yes
Mrs. Edward Dale (Charlotte Lamson) Appleton,female,53,2,0,51.4792,1st,yes
Mr. John Irwin Flynn,male,36,0,0,26.3875,1st,yes
Miss. Mary Kelly,female,22,0,0,7.75,3rd,yes
Mr. Alfred George John Rush,male,16,0,0,8.05,3rd,no
Mr. George Patchett,male,19,0,0,14.5,3rd,no
Miss. Ethel Garside,female,34,0,0,13,2nd,yes
Mrs. William Baird (Alice Munger) Silvey,female,39,1,0,55.9,1st,yes
Mrs. Joseph (Maria Elias) Caram,female,18,1,0,14.4583,3rd,no
Mr. Eiriik Jussila,male,32,0,0,7.925,3rd,yes
Miss. Julie Rachel Christy,female,25,1,1,30,2nd,yes
Mrs. John Borland (Marian Longstreth Morris) Thayer,female,39,1,1,110.8833,1st,yes
Mr. William James Downton,male,54,0,0,26,2nd,no
Mr. John Hugo Ross,male,36,0,0,40.125,1st,no
Mr. Uscher Paulner,male,16,0,0,8.7125,3rd,no
Miss. Ruth Taussig,female,18,0,2,79.65,1st,yes
Mr. John Denzil Jarvis,male,47,0,0,15,2nd,no
Mr. Maxmillian Frolicher-Stehli,male,60,1,1,79.2,1st,yes
Mr. Eliezer Gilinski,male,22,0,0,8.05,3rd,no
Mr. Joseph Murdlin,male,22,0,0,8.05,3rd,no
Mr. Matti Rintamaki,male,35,0,0,7.125,3rd,no
Mrs. Walter Bertram (Martha Eustis) Stephenson,female,52,1,0,78.2667,1st,yes
Mr. William James Elsbury,male,47,0,0,7.25,3rd,no
Miss. Mary Bourke,female,40,0,2,7.75,3rd,no
Mr. John Henry Chapman,male,37,1,0,26,2nd,no
Mr. Jean Baptiste Van Impe,male,36,1,1,24.15,3rd,no
Miss. Jessie Wills Leitch,female,31,0,0,33,2nd,yes
Mr. Alfred Johnson,male,49,0,0,0,3rd,no
Mr. Hanna Boulos,male,18,0,0,7.225,3rd,no
Sir. Cosmo Edmund Duff Gordon,male,49,1,0,56.9292,1st,yes
Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,female,24,2,1,27,2nd,yes
Mr. Petco Slabenoff,male,42,0,0,7.8958,3rd,no
Mr. Charles H Harrington,male,37,0,0,42.4,1st,no
Mr. Ernst William Torber,male,44,0,0,8.05,3rd,no
Mr. Harry Homer,male,35,0,0,26.55,1st,yes
Mr. Edvard Bengtsson Lindell,male,36,1,0,15.55,3rd,no
Mr. Milan Karaic,male,30,0,0,7.8958,3rd,no
Mr. Robert Williams Daniel,male,27,0,0,30.5,1st,yes
Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,female,22,1,2,41.5792,2nd,yes
Miss. Elizabeth W Shutes,female,40,0,0,153.4625,1st,yes
Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,female,39,1,5,31.275,3rd,no
Mr. Jose Neto Jardin,male,21,0,0,7.05,3rd,no
Miss. Margaret Jane Murphy,female,18,1,0,15.5,3rd,yes
Mr. John Horgan,male,22,0,0,7.75,3rd,no
Mr. William Alfred Brocklebank,male,35,0,0,8.05,3rd,no
Miss. Alice Herman,female,24,1,2,65,2nd,yes
Mr. Ernst Gilbert Danbom,male,34,1,1,14.4,3rd,no
Mrs. William Arthur (Cordelia K Stanlick) Lobb,female,26,1,0,16.1,3rd,no
Miss. Marion Louise Becker,female,4,2,1,39,2nd,yes
Mr. Lawrence Gavey,male,26,0,0,10.5,2nd,no
Mr. Antoni Yasbeck,male,27,1,0,14.4542,3rd,no
Mr. Edwin Nelson Jr Kimball,male,42,1,0,52.5542,1st,yes
Mr. Sahid Nakid,male,20,1,1,15.7417,3rd,yes
Mr. Henry Damsgaard Hansen,male,21,0,0,7.8542,3rd,no
Mr. David John Bowen,male,21,0,0,16.1,3rd,no
Mr. Frederick Sutton,male,61,0,0,32.3208,1st,no
Rev. Charles Leonard Kirkland,male,57,0,0,12.35,2nd,no
Miss. Gretchen Fiske Longley,female,21,0,0,77.9583,1st,yes
Mr. Guentcho Bostandyeff,male,26,0,0,7.8958,3rd,no
Mr. Patrick D O'Connell,male,18,0,0,7.7333,3rd,no
Mr. Algernon Henry Wilson Barkworth,male,80,0,0,30,1st,yes
Mr. Johan Svensson Lundahl,male,51,0,0,7.0542,3rd,no
Dr. Max Stahelin-Maeglin,male,32,0,0,30.5,1st,yes
Mr. William Henry Marsh Parr,male,30,0,0,0,1st,no
Miss. Mabel Skoog,female,9,3,2,27.9,3rd,no
Miss. Mary Davis,female,28,0,0,13,2nd,yes
Mr. Antti Gustaf Leinonen,male,32,0,0,7.925,3rd,no
Mr. Harvey Collyer,male,31,1,1,26.25,2nd,no
Mrs. Juha (Maria Emilia Ojala) Panula,female,41,0,5,39.6875,3rd,no
Mr. Percival Thorneycroft,male,37,1,0,16.1,3rd,no
Mr. Hans Peder Jensen,male,20,0,0,7.8542,3rd,no
Mlle. Emma Sagesser,female,24,0,0,69.3,1st,yes
Miss. Margit Elizabeth Skoog,female,2,3,2,27.9,3rd,no
Mr. Choong Foo,male,32,0,0,56.4958,3rd,yes
Miss. Eugenie Baclini,female,0.75,2,1,19.2583,3rd,yes
Mr. Henry Sleeper Harper,male,48,1,0,76.7292,1st,yes
Mr. Liudevit Cor,male,19,0,0,7.8958,3rd,no
Col. Oberst Alfons Simonius-Blumer,male,56,0,0,35.5,1st,yes
Mr. Edward Willey,male,21,0,0,7.55,3rd,no
Miss. Amy Zillah Elsie Stanley,female,23,0,0,7.55,3rd,yes
Mr. Mito Mitkoff,male,23,0,0,7.8958,3rd,no
Miss. Elsie Doling,female,18,0,1,23,2nd,yes
Mr. Johannes Halvorsen Kalvik,male,21,0,0,8.4333,3rd,no
Miss. Hanora O'Leary,female,16,0,0,7.8292,3rd,yes
Miss. Hanora Hegarty,female,18,0,0,6.75,3rd,no
Mr. Leonard Mark Hickman,male,24,2,0,73.5,2nd,no
Mr. Alexander Radeff,male,27,0,0,7.8958,3rd,no
Mrs. John (Catherine) Bourke,female,32,1,1,15.5,3rd,no
Mr. George Floyd Eitemiller,male,23,0,0,13,2nd,no
Mr. Arthur Webster Newell,male,58,0,2,113.275,1st,no
Dr. Henry William Frauenthal,male,50,2,0,133.65,1st,yes
Mr. Mohamed Badt,male,40,0,0,7.225,3rd,no
Mr. Edward Pomeroy Colley,male,47,0,0,25.5875,1st,no
Mr. Peju Coleff,male,36,0,0,7.4958,3rd,no
Mr. Eino William Lindqvist,male,20,1,0,7.925,3rd,yes
Mr. Lewis Hickman,male,32,2,0,73.5,2nd,no
Mr. Reginald Fenton Butler,male,25,0,0,13,2nd,no
Mr. Knud Paust Rommetvedt,male,49,0,0,7.775,3rd,no
Mr. Jacob Cook,male,43,0,0,8.05,3rd,no
Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,female,48,1,0,52,1st,yes
Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,female,40,1,1,39,2nd,yes
Mr. Thornton Davidson,male,31,1,0,52,1st,no
Mr. Henry Michael Mitchell,male,70,0,0,10.5,2nd,no
Mr. Charles Wilhelms,male,31,0,0,13,2nd,yes
Mr. Ennis Hastings Watson,male,19,0,0,0,2nd,no
Mr. Gustaf Hjalmar Edvardsson,male,18,0,0,7.775,3rd,no
Mr. Frederick Charles Sawyer,male,24.5,0,0,8.05,3rd,no
Miss. Anna Sofia Turja,female,18,0,0,9.8417,3rd,yes
Mrs. Frederick (Augusta Tyler) Goodwin,female,43,1,6,46.9,3rd,no
Mr. Thomas Drake Martinez Cardeza,male,36,0,1,512.3292,1st,yes
Miss. Katie Peters,female,28,0,0,8.1375,3rd,no
Mr. Hammad Hassab,male,27,0,0,76.7292,1st,yes
Mr. Thor Anderson Olsvigen,male,20,0,0,9.225,3rd,no
Mr. Charles Edward Goodwin,male,14,5,2,46.9,3rd,no
Mr. Thomas William Solomon Brown,male,60,1,1,39,2nd,no
Mr. Joseph Philippe Lemercier Laroche,male,25,1,2,41.5792,2nd,no
Mr. Jaako Arnold Panula,male,14,4,1,39.6875,3rd,no
Mr. Branko Dakic,male,19,0,0,10.1708,3rd,no
Mr. Eberhard Thelander Fischer,male,18,0,0,7.7958,3rd,no
Miss. Georgette Alexandra Madill,female,15,0,1,211.3375,1st,yes
Mr. Albert Adrian Dick,male,31,1,0,57,1st,yes
Miss. Manca Karun,female,4,0,1,13.4167,3rd,yes
Mr. Ali Lam,male,37,0,0,56.4958,3rd,yes
Mr. Khalil Saad,male,25,0,0,7.225,3rd,no
Col. John Weir,male,60,0,0,26.55,1st,no
Mr. Charles Henry Chapman,male,52,0,0,13.5,2nd,no
Mr. James Kelly,male,44,0,0,8.05,3rd,no
Miss. Katherine Mullens,female,19,0,0,7.7333,3rd,yes
Mr. John Borland Thayer,male,49,1,1,110.8833,1st,no
Mr. Adolf Mathias Nicolai Olsen Humblen,male,42,0,0,7.65,3rd,no
Mrs. John Jacob (Madeleine Talmadge Force) Astor,female,18,1,0,227.525,1st,yes
Mr. Spencer Victor Silverthorne,male,35,0,0,26.2875,1st,yes
Miss. Saiide Barbara,female,18,0,1,14.4542,3rd,no
Mr. Martin Gallagher,male,25,0,0,7.7417,3rd,no
Mr. Henrik Juul Hansen,male,26,1,0,7.8542,3rd,no
Mr. Henry Samuel Morley,male,39,0,0,26,2nd,no
Mrs. Florence Kelly,female,45,0,0,13.5,2nd,yes
Mr. Edward Pennington Calderhead,male,42,0,0,26.2875,1st,yes
Miss. Alice Cleaver,female,22,0,0,151.55,1st,yes
Master. Halim Gonios Moubarek,male,4,1,1,15.2458,3rd,yes
Mlle. Berthe Antonine Mayne,female,24,0,0,49.5042,1st,yes
Mr. Herman Klaber,male,41,0,0,26.55,1st,no
Mr. Elmer Zebley Taylor,male,48,1,0,52,1st,yes
Mr. August Viktor Larsson,male,29,0,0,9.4833,3rd,no
Mr. Samuel Greenberg,male,52,0,0,13,2nd,no
Mr. Peter Andreas Lauritz Andersen Soholt,male,19,0,0,7.65,3rd,no
Miss. Caroline Louise Endres,female,38,0,0,227.525,1st,yes
Miss. Edwina Celia Troutt,female,27,0,0,10.5,2nd,yes
Mr. Malkolm Joackim Johnson,male,33,0,0,7.775,3rd,no
Miss. Annie Jessie Harper,female,6,0,1,33,2nd,yes
Mr. Svend Lauritz Jensen,male,17,1,0,7.0542,3rd,no
Mr. William Henry Gillespie,male,34,0,0,13,2nd,no
Mr. Henry Price Hodges,male,50,0,0,13,2nd,no
Mr. Norman Campbell Chambers,male,27,1,0,53.1,1st,yes
Mr. Luka Oreskovic,male,20,0,0,8.6625,3rd,no
Mrs. Peter Henry (Lillian Jefferys) Renouf,female,30,3,0,21,2nd,yes
Miss. Margareth Mannion,female,28,0,0,7.7375,3rd,yes
Mr. Kurt Arnold Gottfrid Bryhl,male,25,1,0,26,2nd,no
Miss. Pieta Sofia Ilmakangas,female,25,1,0,7.925,3rd,no
Miss. Elisabeth Walton Allen,female,29,0,0,211.3375,1st,yes
Mr. Houssein G N Hassan,male,11,0,0,18.7875,3rd,no
Mr. Robert J Knight,male,41,0,0,0,2nd,no
Mr. William John Berriman,male,23,0,0,13,2nd,no
Mr. Moses Aaron Troupiansky,male,23,0,0,13,2nd,no
Mr. Leslie Williams,male,28.5,0,0,16.1,3rd,no
Mrs. Edward (Margaret Ann Watson) Ford,female,48,1,3,34.375,3rd,no
Mr. Gustave J Lesurer,male,35,0,0,512.3292,1st,yes
Mr. Kanio Ivanoff,male,20,0,0,7.8958,3rd,no
Mr. Minko Nankoff,male,32,0,0,7.8958,3rd,no
Mr. Walter James Hawksford,male,45,0,0,30,1st,yes
Mr. Tyrell William Cavendish,male,36,1,0,78.85,1st,no
Miss. Susan Parker Ryerson,female,21,2,2,262.375,1st,yes
Mr. Neal McNamee,male,24,1,0,16.1,3rd,no
Mr. Juho Stranden,male,31,0,0,7.925,3rd,yes
Capt. Edward Gifford Crosby,male,70,1,1,71,1st,no
Mr. Rossmore Edward Abbott,male,16,1,1,20.25,3rd,no
Miss. Anna Sinkkonen,female,30,0,0,13,2nd,yes
Mr. Daniel Warner Marvin,male,19,1,0,53.1,1st,no
Mr. Michael Connaghton,male,31,0,0,7.75,3rd,no
Miss. Joan Wells,female,4,1,1,23,2nd,yes
Master. Meier Moor,male,6,0,1,12.475,3rd,yes
Mr. Johannes Joseph Vande Velde,male,33,0,0,9.5,3rd,no
Mr. Lalio Jonkoff,male,23,0,0,7.8958,3rd,no
Mrs. Samuel (Jane Laver) Herman,female,48,1,2,65,2nd,yes
Master. Viljo Hamalainen,male,0.67,1,1,14.5,2nd,yes
Mr. August Sigfrid Carlsson,male,28,0,0,7.7958,3rd,no
Mr. Percy Andrew Bailey,male,18,0,0,11.5,2nd,no
Mr. Thomas Leonard Theobald,male,34,0,0,8.05,3rd,no
the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,female,33,0,0,86.5,1st,yes
Mr. John Garfirth,male,23,0,0,14.5,3rd,no
Mr. Iisakki Antino Aijo Nirva,male,41,0,0,7.125,3rd,no
Mr. Hanna Assi Barah,male,20,0,0,7.2292,3rd,yes
Mrs. William Ernest (Lucile Polk) Carter,female,36,1,2,120,1st,yes
Mr. Hans Linus Eklund,male,16,0,0,7.775,3rd,no
Mrs. John C (Anna Andrews) Hogeboom,female,51,1,0,77.9583,1st,yes
Dr. Arthur Jackson Brewe,male,46,0,0,39.6,1st,no
Miss. Mary Mangan,female,30.5,0,0,7.75,3rd,no
Mr. Daniel J Moran,male,28,1,0,24.15,3rd,no
Mr. Daniel Danielsen Gronnestad,male,32,0,0,8.3625,3rd,no
Mr. Rene Aime Lievens,male,24,0,0,9.5,3rd,no
Mr. Niels Peder Jensen,male,48,0,0,7.8542,3rd,no
Mrs. (Mary) Mack,female,57,0,0,10.5,2nd,no
Mr. Dibo Elias,male,29,0,0,7.225,3rd,no
Mrs. Elizabeth (Eliza Needs) Hocking,female,54,1,3,23,2nd,yes
Mr. Pehr Fabian Oliver Malkolm Myhrman,male,18,0,0,7.75,3rd,no
Mr. Roger Tobin,male,20,0,0,7.75,3rd,no
Miss. Virginia Ethel Emanuel,female,5,0,0,12.475,3rd,yes
Mr. Thomas J Kilgannon,male,22,0,0,7.7375,3rd,no
Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,female,43,0,1,211.3375,1st,yes
Miss. Banoura Ayoub,female,13,0,0,7.2292,3rd,yes
Mrs. Albert Adrian (Vera Gillespie) Dick,female,17,1,0,57,1st,yes
Mr. Milton Clyde Long,male,29,0,0,30,1st,no
Mr. Andrew G Johnston,male,35,1,2,23.45,3rd,no
Mr. William Ali,male,25,0,0,7.05,3rd,no
Mr. Abraham (David Lishin) Harmer,male,25,0,0,7.25,3rd,no
Miss. Anna Sofia Sjoblom,female,18,0,0,7.4958,3rd,yes
Master. George Hugh Rice,male,8,4,1,29.125,3rd,no
Master. Bertram Vere Dean,male,1,1,2,20.575,3rd,yes
Mr. Benjamin Guggenheim,male,46,0,0,79.2,1st,no
Mr. Andrew Keane,male,20,0,0,7.75,3rd,no
Mr. Alfred Gaskell,male,16,0,0,26,2nd,no
Miss. Stella Anna Sage,female,21,8,2,69.55,3rd,no
Mr. William Fisher Hoyt,male,43,0,0,30.6958,1st,no
Mr. Ristiu Dantcheff,male,25,0,0,7.8958,3rd,no
Mr. Richard Otter,male,39,0,0,13,2nd,no
Dr. Alice (Farnham) Leader,female,49,0,0,25.9292,1st,yes
Mrs. Mara Osman,female,31,0,0,8.6833,3rd,yes
Mr. Yousseff Ibrahim Shawah,male,30,0,0,7.2292,3rd,no
Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,female,30,1,1,24.15,3rd,no
Mr. Martin Ponesell,male,34,0,0,13,2nd,no
Mrs. Harvey (Charlotte Annie Tate) Collyer,female,31,1,1,26.25,2nd,yes
Master. William Thornton II Carter,male,11,1,2,120,1st,yes
Master. Assad Alexander Thomas,male,0.42,0,1,8.5167,3rd,yes
Mr. Oskar Arvid Hedman,male,27,0,0,6.975,3rd,yes
Mr. Karl Johan Johansson,male,31,0,0,7.775,3rd,no
Mr. Thomas Jr Andrews,male,39,0,0,0,1st,no
Miss. Ellen Natalia Pettersson,female,18,0,0,7.775,3rd,no
Mr. August Meyer,male,39,0,0,13,2nd,no
Mrs. Norman Campbell (Bertha Griggs) Chambers,female,33,1,0,53.1,1st,yes
Mr. William Alexander,male,26,0,0,7.8875,3rd,no
Mr. James Lester,male,39,0,0,24.15,3rd,no
